modeloBombilla,tipoLampara,streetAddress,codigo,distrito,barrio,Longitude,Latitude
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR CANTABRICO 11,11119001,Hortaleza,4,445540.10460000000,4480487.22470000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR CASPIO 51,20086336,Hortaleza,4,445522.79950000000,4480484.17820000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR CASPIO 47,20086330,Hortaleza,4,445506.25180000000,4480483.45810000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR CANTABRICO 4,20151216,Hortaleza,4,445533.2390000000,4480513.86980000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR CANTABRICO 2,20151214,Hortaleza,4,445533.91170000000,4480531.28910000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,PLAZA DEL DOCTOR CALVO PEREZ 3,11118973,Hortaleza,4,445534.57450000000,4480546.96080000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,PLAZA DEL DOCTOR CALVO PEREZ 8,11119264,Hortaleza,4,445545.78020000000,4480558.20310000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DE KARA 42,11119198,Hortaleza,4,445443.4500000000,4480528.90420000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DE KARA 32,11119024,Hortaleza,4,445434.86830000000,4480514.69970000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DE KARA 44,11119200,Hortaleza,4,445450.25590000000,4480541.14860000000
FVLED002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DE ALCOBENDAS 6,31044503,Hortaleza,4,445577.90940000000,4480705.9540000000
FVLED002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DE LAS ERAS 9,11119314,Hortaleza,4,445577.5350000000,4480721.23770000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,AVENIDA DE NICETO ALCALA ZAMORA 43,31038266,Hortaleza,6,444777.93120000000,4482959.77840000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE OCTAVIO PAZ 39,31006723,Hortaleza,6,444744.36410000000,4482916.20500000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ISABEL CLARA EUGENIA 46,31006598,Hortaleza,6,444676.78420000000,4482839.59840000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE AMERICO CASTRO 28,31018690,Hortaleza,6,444543.44280000000,4482986.66150000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ANA DE AUSTRIA 34,31003882,Hortaleza,6,444595.80290000000,4483048.93850000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE OCTAVIO PAZ 39,31006723,Hortaleza,6,444729.50390000000,4482898.64540000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ANA DE AUSTRIA 34,31003883,Hortaleza,6,444611.61440000000,4483067.60750000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE AMERICO CASTRO 30,31025674,Hortaleza,6,444629.1020000000,4483084.940000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE OCTAVIO PAZ 41,31011656,Hortaleza,6,444763.20390000000,4482938.42050000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE OCTAVIO PAZ 37,31006604,Hortaleza,6,444711.96720000000,4482877.26190000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE AMERICO CASTRO 26,31018689,Hortaleza,6,444526.54540000000,4482966.13430000000
